,Group,crop,species,native ecoregions,covered ecoregions,perc_ecoregion_range_covered,accessions with geographic data,accessions lacking geographic data,total accessions,at_least_one_accession,perc_accessions_w_geo_dat
1,Fruits/Berries,Saskatoon,Amelanchier alnifolia,24,2,8.3%,6,30,36,1,16.7%
2,Fruits/Berries,Saskatoon,Amelanchier arborea,5,1,20.0%,2,11,13,1,15.4%
3,Fruits/Berries,Saskatoon,Amelanchier bartramiana,8,1,12.5%,1,14,15,1,6.7%
4,Fruits/Berries,Saskatoon,Amelanchier canadensis,4,1,25.0%,2,47,49,1,4.1%
5,Fruits/Berries,Saskatoon,Amelanchier humilis,8,0,0.0%,0,15,15,1,0.0%
6,Fruits/Berries,Saskatoon,Amelanchier intermedia,4,1,25.0%,1,11,12,1,8.3%
7,Fruits/Berries,Saskatoon,Amelanchier laevis,5,2,40.0%,3,46,49,1,6.1%
8,Fruits/Berries,Saskatoon,Amelanchier sanguinea,7,0,0.0%,0,17,17,1,0.0%
9,Fruits/Berries,Saskatoon,Amelanchier stolonifera,7,0,0.0%,0,0,0,0,0.0%
,,,,8,0.888888889,14.5%,1.666666667,21.22222222,22.88888889,0.888888889,6.4%
