,Group,crop,species,native provinces,covered provinces,perc_province_range_covered,accessions with geographic data,accessions lacking geographic data,total accessions,at_least_one_accession,perc_accessions_w_geo_dat
1,Fruits/Berries,Saskatoon,Amelanchier alnifolia,10,3,30.0%,13,23,36,1,36.1%
2,Fruits/Berries,Saskatoon,Amelanchier arborea,6,1,16.7%,3,10,13,1,23.1%
3,Fruits/Berries,Saskatoon,Amelanchier bartramiana,6,1,16.7%,1,14,15,1,6.7%
4,Fruits/Berries,Saskatoon,Amelanchier canadensis,5,1,20.0%,2,47,49,1,4.1%
5,Fruits/Berries,Saskatoon,Amelanchier humilis,5,0,0.0%,0,15,15,1,0.0%
6,Fruits/Berries,Saskatoon,Amelanchier intermedia,5,2,40.0%,2,10,12,1,16.7%
7,Fruits/Berries,Saskatoon,Amelanchier laevis,6,2,33.3%,5,44,49,1,10.2%
8,Fruits/Berries,Saskatoon,Amelanchier sanguinea,4,2,50.0%,2,15,17,1,11.8%
9,Fruits/Berries,Saskatoon,Amelanchier stolonifera,6,0,0.0%,0,0,0,0,0.0%
,,,,5.888888889,1.333333333,0.22962963,3.111111111,19.77777778,22.88888889,0.888888889,0.12063532
