"","crop","species","province","variant","IUCNRedList","accessions_in_province","total_accessions_for_species","accessions_no_geo_data","accessions_with_geo_data","binary","num_native_provinces","num_covered_provinces","perc_provincial_range_covered"
"1","Saskatoon","Amelanchier alnifolia","Yukon",NA,NA,0,25,17,44,0,10,2,0.2
"2","Saskatoon","Amelanchier alnifolia","Northwest Territories",NA,NA,0,25,17,44,0,10,2,0.2
"3","Saskatoon","Amelanchier alnifolia","Manitoba",NA,NA,0,25,17,44,0,10,2,0.2
"4","Saskatoon","Amelanchier alnifolia","Saskatchewan",NA,NA,1,25,17,44,1,10,2,0.2
"5","Saskatoon","Amelanchier alnifolia","British Columbia",NA,NA,7,25,17,44,1,10,2,0.2
"6","Saskatoon","Amelanchier alnifolia","Ontario",NA,NA,0,25,17,44,0,10,2,0.2
"7","Saskatoon","Amelanchier alnifolia","Quebec",NA,NA,0,25,17,44,0,10,2,0.2
"8","Saskatoon","Amelanchier alnifolia","Alberta",NA,NA,0,25,17,44,0,10,2,0.2
"9","Saskatoon","Amelanchier alnifolia","New Brunswick",NA,NA,0,25,17,44,0,10,2,0.2
"10","Saskatoon","Amelanchier alnifolia","Nova Scotia",NA,NA,0,25,17,44,0,10,2,0.2
